Region,Year,Category,Value,Criteria
CIS,2016,Total,8.4,Population covered by a mobile-cellular network/Millions
Europe,2016,Total,57.8,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2016,Total,2016.0,Population covered by a mobile-cellular network/Millions
Africa,2016,Total,177.0,Population covered by a mobile-cellular network/Millions
Americas,2016,Total,671.6,Population covered by a mobile-cellular network/Millions
Arab States,2016,Total,171.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2016,Total,1540.2,Population covered by a mobile-cellular network/Millions
CIS,2016,Total,156.7,Population covered by a mobile-cellular network/Millions
Europe,2016,Total,510.3,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2016,Total,2016.0,Population covered by a mobile-cellular network/Millions
Africa,2017,Total,884.2,Population covered by a mobile-cellular network/Millions
Americas,2017,Total,962.6,Population covered by a mobile-cellular network/Millions
Arab States,2017,Total,409.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2017,Total,4120.5,Population covered by a mobile-cellular network/Millions
CIS,2017,Total,224.0,Population covered by a mobile-cellular network/Millions
Europe,2017,Total,677.2,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Africa,2017,Total,628.7,Population covered by a mobile-cellular network/Millions
Americas,2017,Total,936.6,Population covered by a mobile-cellular network/Millions
Arab States,2017,Total,369.2,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2017,Total,3834.2,Population covered by a mobile-cellular network/Millions
CIS,2017,Total,191.4,Population covered by a mobile-cellular network/Millions
Europe,2017,Total,667.4,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Africa,2017,Total,179.2,Population covered by a mobile-cellular network/Millions
Americas,2017,Total,820.3,Population covered by a mobile-cellular network/Millions
Arab States,2017,Total,209.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2017,Total,3665.8,Population covered by a mobile-cellular network/Millions
CIS,2017,Total,145.0,Population covered by a mobile-cellular network/Millions
Europe,2017,Total,609.1,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Africa,2017,Total,2.6,Population covered by a mobile-cellular network/Millions
Americas,2017,Total,51.8,Population covered by a mobile-cellular network/Millions
Arab States,2017,Total,13.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2017,Total,124.3,Population covered by a mobile-cellular network/Millions
CIS,2017,Total,10.5,Population covered by a mobile-cellular network/Millions
Europe,2017,Total,64.1,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Africa,2017,Total,204.1,Population covered by a mobile-cellular network/Millions
Americas,2017,Total,714.5,Population covered by a mobile-cellular network/Millions
Arab States,2017,Total,197.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2017,Total,1648.0,Population covered by a mobile-cellular network/Millions
CIS,2017,Total,164.2,Population covered by a mobile-cellular network/Millions
Europe,2017,Total,526.8,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2017,Total,2017.0,Population covered by a mobile-cellular network/Millions
Africa,2018,Total,915.7,Population covered by a mobile-cellular network/Millions
Americas,2018,Total,972.1,Population covered by a mobile-cellular network/Millions
Arab States,2018,Total,418.3,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2018,Total,4165.9,Population covered by a mobile-cellular network/Millions
CIS,2018,Total,225.4,Population covered by a mobile-cellular network/Millions
Europe,2018,Total,678.8,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Africa,2018,Total,723.6,Population covered by a mobile-cellular network/Millions
Americas,2018,Total,952.0,Population covered by a mobile-cellular network/Millions
Arab States,2018,Total,388.7,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2018,Total,3997.1,Population covered by a mobile-cellular network/Millions
CIS,2018,Total,195.1,Population covered by a mobile-cellular network/Millions
Europe,2018,Total,671.5,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Africa,2018,Total,250.6,Population covered by a mobile-cellular network/Millions
Americas,2018,Total,881.3,Population covered by a mobile-cellular network/Millions
Arab States,2018,Total,258.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2018,Total,3882.5,Population covered by a mobile-cellular network/Millions
CIS,2018,Total,161.1,Population covered by a mobile-cellular network/Millions
Europe,2018,Total,622.3,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Africa,2018,Total,3.3,Population covered by a mobile-cellular network/Millions
Americas,2018,Total,70.9,Population covered by a mobile-cellular network/Millions
Arab States,2018,Total,18.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2018,Total,174.8,Population covered by a mobile-cellular network/Millions
CIS,2018,Total,11.4,Population covered by a mobile-cellular network/Millions
Europe,2018,Total,88.3,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Africa,2018,Total,233.2,Population covered by a mobile-cellular network/Millions
Americas,2018,Total,744.4,Population covered by a mobile-cellular network/Millions
Arab States,2018,Total,212.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2018,Total,1823.4,Population covered by a mobile-cellular network/Millions
CIS,2018,Total,177.3,Population covered by a mobile-cellular network/Millions
Europe,2018,Total,550.4,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2018,Total,2018.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,937.9,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,972.9,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,427.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,4228.9,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,238.7,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,680.4,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,778.9,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,958.0,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,403.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,4130.9,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,212.5,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,673.8,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,355.0,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,913.9,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,273.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,4004.2,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,194.5,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,665.5,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,4.8,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,487.1,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,54.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,866.8,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,51.8,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,450.7,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,3.9,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,57.0,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,16.8,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,279.0,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,18.0,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,40.4,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,4.7,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,101.0,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,24.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,247.6,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,12.6,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,122.5,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,269.7,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,769.4,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,239.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,2095.9,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,185.8,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,564.9,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2019,Total,2019.0,Population covered by a mobile-cellular network/Millions
Africa,2019,Total,406.0,Population covered by a mobile-cellular network/Millions
Americas,2019,Total,730.3,Population covered by a mobile-cellular network/Millions
Arab States,2019,Total,268.5,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2019,Total,2398.4,Population covered by a mobile-cellular network/Millions
CIS,2019,Total,185.9,Population covered by a mobile-cellular network/Millions
Europe,2019,Total,566.3,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,992.6,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,977.1,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,437.7,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,4279.6,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,241.9,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,686.6,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,834.7,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,964.5,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,418.5,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,4189.8,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,220.4,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,679.6,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,454.4,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,931.7,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,328.8,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,4101.0,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,206.5,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,672.3,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,1.0,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,358.0,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,35.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,127.0,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,1.0,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,190.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,7.3,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,624.0,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,74.4,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,1686.3,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,74.9,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,611.1,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,6.4,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,66.4,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,25.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,367.0,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,28.2,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,59.9,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,9.8,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,134.9,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,32.2,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,310.8,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,16.6,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,157.1,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,308.1,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,816.3,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,273.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,2438.8,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,194.8,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,587.0,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2020,Total,2020.0,Population covered by a mobile-cellular network/Millions
Africa,2020,Total,447.9,Population covered by a mobile-cellular network/Millions
Americas,2020,Total,752.3,Population covered by a mobile-cellular network/Millions
Arab States,2020,Total,280.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2020,Total,2580.3,Population covered by a mobile-cellular network/Millions
CIS,2020,Total,188.6,Population covered by a mobile-cellular network/Millions
Europe,2020,Total,574.7,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,1036.4,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,982.6,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,447.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,4305.4,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,243.3,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,687.2,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,892.9,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,969.9,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,421.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,4220.9,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,235.0,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,682.3,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,553.7,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,944.4,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,341.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,4136.3,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,213.8,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,679.3,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,10.0,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,424.0,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,39.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,677.0,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,4.0,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,311.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,10.4,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,801.7,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,143.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,2056.6,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,93.7,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,769.2,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,8.5,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,86.0,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,31.9,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,498.3,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,36.4,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,77.1,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,12.8,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,171.9,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,41.3,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,442.4,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,20.1,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,202.6,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,347.8,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,838.9,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,299.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,2606.6,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,207.2,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,604.0,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2021,Total,2021.0,Population covered by a mobile-cellular network/Millions
Africa,2021,Total,486.1,Population covered by a mobile-cellular network/Millions
Americas,2021,Total,765.9,Population covered by a mobile-cellular network/Millions
Arab States,2021,Total,291.3,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2021,Total,2715.9,Population covered by a mobile-cellular network/Millions
CIS,2021,Total,191.1,Population covered by a mobile-cellular network/Millions
Europe,2021,Total,577.3,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,1071.3,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,992.5,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,458.4,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,4334.2,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,244.9,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,689.1,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,946.7,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,982.5,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,438.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,4256.1,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,237.9,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,684.9,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,712.4,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,959.8,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,380.4,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,4172.9,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,223.3,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,683.8,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,22.0,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,488.0,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,46.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,1582.0,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,6.0,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,395.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,13.0,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,1020.3,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,185.4,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,2158.8,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,109.3,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,870.4,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,12.5,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,113.8,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,42.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,598.3,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,45.1,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,99.2,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,17.5,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,221.2,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,51.5,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,545.0,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,23.0,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,248.7,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,380.8,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,854.1,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,318.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,2720.1,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,215.2,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,612.3,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2022,Total,2022.0,Population covered by a mobile-cellular network/Millions
Africa,2022,Total,518.1,Population covered by a mobile-cellular network/Millions
Americas,2022,Total,776.3,Population covered by a mobile-cellular network/Millions
Arab States,2022,Total,301.6,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2022,Total,2800.7,Population covered by a mobile-cellular network/Millions
CIS,2022,Total,195.3,Population covered by a mobile-cellular network/Millions
Europe,2022,Total,581.6,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,1108.2,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,1001.6,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,469.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,4362.5,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,246.0,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,691.8,Population covered by a mobile-cellular network/Millions
Population covered by at least a 3G mobile network/Millions,2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,1008.3,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,991.4,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,457.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,4304.9,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,242.5,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,689.2,Population covered by a mobile-cellular network/Millions
Population covered by at least an LTE/WiMAX mobile network/Millions,2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,816.9,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,971.9,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,413.3,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,4245.2,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,233.6,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,688.4,Population covered by a mobile-cellular network/Millions
Population covered by at least a 5G mobile network/Millions,2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,70.0,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,564.0,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,52.0,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,2434.0,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,10.0,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,445.0,Population covered by a mobile-cellular network/Millions
Fixed broadband traffic(Exabytes),2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,16.6,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,1128.9,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,220.2,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,2613.6,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,143.3,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,966.3,Population covered by a mobile-cellular network/Millions
Mobile broadband traffic(Exabytes),2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,16.5,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,148.7,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,59.1,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,659.6,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,54.5,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,123.6,Population covered by a mobile-cellular network/Millions
International bandwidth usage(Tbits/s**),2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,25.6,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,266.5,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,61.7,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,659.4,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,33.0,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,311.9,Population covered by a mobile-cellular network/Millions
Individuals using the Internet(Millions),2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,414.6,Population covered by a mobile-cellular network/Millions
Americas,2023,Total,878.0,Population covered by a mobile-cellular network/Millions
Arab States,2023,Total,330.8,Population covered by a mobile-cellular network/Millions
Asia-Pacific,2023,Total,2815.4,Population covered by a mobile-cellular network/Millions
CIS,2023,Total,222.2,Population covered by a mobile-cellular network/Millions
Europe,2023,Total,620.7,Population covered by a mobile-cellular network/Millions
Individuals owning a mobile phone***(Millions),2023,Total,2023.0,Population covered by a mobile-cellular network/Millions
Africa,2023,Total,545.8,Population covered by a mobile-cellular network/Millions
